product,slug,campaign_id,launch_date,end_date,spend_usd,lpv,carts,sales,revenue_usd,verdict
Breathing Strips 60ct,breathing-strips,TE-strips-campaign,2026-09-04,2026-09-07,,,,0,0,no sale - rotated out
Pickleball Set,pickleball-set,120248600279740135,2026-09-07,,,,,0,0,TESTING
